# Freq_range	Reflection	Transmission
0.060000	0.150150	0.945411
0.060080	0.145613	0.830546
0.060160	0.193872	1.010223
0.060240	0.243462	1.143103
0.060320	0.238652	0.982494
0.060400	0.214125	0.767561
0.060480	0.239850	0.808959
0.060561	0.303499	0.985035
0.060641	0.328293	0.964953
0.060721	0.300796	0.754136
0.060801	0.295173	0.663847
0.060881	0.349904	0.790806
0.060961	0.402107	0.876109
0.061041	0.391679	0.745649
0.061121	0.362309	0.584543
0.061201	0.388957	0.614812
0.061281	0.452112	0.735613
0.061361	0.470094	0.708161
0.061441	0.435885	0.550105
0.061522	0.428755	0.489128
0.061602	0.481131	0.581071
0.061682	0.524546	0.632085
0.061762	0.505015	0.529357
0.061842	0.473237	0.417600
0.061922	0.498576	0.446808
0.062002	0.552786	0.529276
0.062082	0.558715	0.498528
0.062162	0.520172	0.384608
0.062242	0.514164	0.351410
0.062322	0.560740	0.421264
0.062402	0.590636	0.448651
0.062482	0.563083	0.368486
0.062563	0.533418	0.296341
0.062643	0.558299	0.327708
0.062723	0.600904	0.383747
0.062803	0.594943	0.351799
0.062883	0.556432	0.271562
0.062963	0.554737	0.259925
0.063043	0.594999	0.314613
0.063123	0.611349	0.325761
0.063203	0.579324	0.262931
0.063283	0.555697	0.219854
0.063363	0.580967	0.252604
0.063443	0.611983	0.289818
0.063524	0.596870	0.257964
0.063604	0.562335	0.202469
0.063684	0.566454	0.205647
0.063764	0.600269	0.248745
0.063844	0.604966	0.248803
0.063924	0.572220	0.199373
0.064004	0.556572	0.176804
0.064084	0.581826	0.209270
0.064164	0.602082	0.232735
0.064244	0.581149	0.202021
0.064324	0.553046	0.164735
0.064404	0.562533	0.177428
0.064484	0.589534	0.211170
0.064565	0.585057	0.203868
0.064645	0.554533	0.165175
0.064725	0.546869	0.157017
0.064805	0.570761	0.187972
0.064885	0.581427	0.201353
0.064965	0.557735	0.172659
0.065045	0.536946	0.149112
0.065125	0.550067	0.167766
0.065205	0.569914	0.193944
0.065285	0.558820	0.182062
0.065365	0.532342	0.152363
0.065445	0.531278	0.154591
0.065526	0.552185	0.183553
0.065606	0.554692	0.189706
0.065686	0.530646	0.163768
0.065766	0.516704	0.151036
0.065846	0.531153	0.173623
0.065926	0.543811	0.193966
0.066006	0.528425	0.179673
0.066086	0.506631	0.157898
0.066166	0.509920	0.168132
0.066246	0.526406	0.195409
0.066326	0.522310	0.196774
0.066406	0.499402	0.174300
0.066486	0.490742	0.170701
0.066567	0.504112	0.196538
0.066647	0.509877	0.212986
0.066727	0.491981	0.198187
0.066807	0.474298	0.183922
0.066887	0.479180	0.201242
0.066967	0.490128	0.228063
0.067047	0.480817	0.227092
0.067127	0.459399	0.209019
0.067207	0.453521	0.214088
0.067287	0.463455	0.243923
0.067367	0.462726	0.259053
0.067447	0.443207	0.245854
0.067528	0.427820	0.239539
0.067608	0.431139	0.264614
0.067688	0.435578	0.293544
0.067768	0.421891	0.293306
0.067848	0.401002	0.281212
0.067928	0.394529	0.295894
0.068008	0.398636	0.332262
0.068088	0.391577	0.349943
0.068168	0.370239	0.341214
0.068248	0.354202	0.344321
0.068328	0.352493	0.379515
0.068408	0.349474	0.414883
0.068488	0.331687	0.419562
0.068569	0.309485	0.415652
0.068649	0.298759	0.441759
0.068729	0.295028	0.488498
0.068809	0.282104	0.513645
0.068889	0.258838	0.512318
0.068969	0.239791	0.525553
0.069049	0.230975	0.572387
0.069129	0.221274	0.617783
0.069209	0.201572	0.630050
0.069289	0.178859	0.633238
0.069369	0.163890	0.667682
0.069449	0.154481	0.723218
0.069530	0.140623	0.755139
0.069610	0.120805	0.757098
0.069690	0.103324	0.771351
0.069770	0.092826	0.819307
0.069850	0.084341	0.865993
0.069930	0.072256	0.876563
0.070010	0.058552	0.872594
0.070090	0.048740	0.896483
0.070170	0.043731	0.942249
0.070250	0.039622	0.965260
0.070330	0.033788	0.954499
0.070410	0.027882	0.949874
0.070490	0.024828	0.977259
0.070571	0.024896	1.007166
0.070651	0.025563	1.003239
0.070731	0.024670	0.981010
