# Freq_range	Reflection	Transmission
0.086000	0.979414	0.004563
0.086028	1.090611	0.004501
0.086056	1.181080	0.004675
0.086084	1.231280	0.004998
0.086112	1.231379	0.005353
0.086140	1.183136	0.005625
0.086168	1.099116	0.005718
0.086196	0.999510	0.005584
0.086224	0.907342	0.005228
0.086252	0.843206	0.004704
0.086280	0.820715	0.004105
0.086308	0.843679	0.003537
0.086336	0.905568	0.003098
0.086364	0.991319	0.002852
0.086392	1.080999	0.002822
0.086420	1.154447	0.002980
0.086448	1.195806	0.003260
0.086476	1.196949	0.003571
0.086505	1.159055	0.003819
0.086533	1.092040	0.003927
0.086561	1.012053	0.003854
0.086589	0.937640	0.003603
0.086617	0.885504	0.003213
0.086645	0.866808	0.002758
0.086673	0.884840	0.002322
0.086701	0.934532	0.001983
0.086729	1.003853	0.001797
0.086757	1.076742	0.001782
0.086785	1.136842	0.001920
0.086813	1.171183	0.002158
0.086841	1.172997	0.002425
0.086869	1.143041	0.002645
0.086897	1.089195	0.002754
0.086925	1.024469	0.002720
0.086953	0.963919	0.002539
0.086981	0.921198	0.002244
0.087009	0.905530	0.001892
0.087037	0.919773	0.001552
0.087065	0.959971	0.001286
0.087093	1.016449	0.001140
0.087121	1.076164	0.001133
0.087149	1.125740	0.001250
0.087177	1.154487	0.001451
0.087205	1.156721	0.001678
0.087233	1.132896	0.001870
0.087261	1.089312	0.001975
0.087289	1.036531	0.001962
0.087317	0.986870	0.001831
0.087345	0.951580	0.001604
0.087373	0.938345	0.001328
0.087401	0.949662	0.001057
0.087429	0.982430	0.000844
0.087457	1.028812	0.000728
0.087485	1.078134	0.000724
0.087514	1.119372	0.000822
0.087542	1.143640	0.000991
0.087570	1.146127	0.001184
0.087598	1.127065	0.001351
0.087626	1.091526	0.001448
0.087654	1.048150	0.001449
0.087682	1.007092	0.001352
0.087710	0.977699	0.001174
0.087738	0.966427	0.000954
0.087766	0.975472	0.000735
0.087794	1.002394	0.000561
0.087822	1.040795	0.000466
0.087850	1.081875	0.000463
0.087878	1.116470	0.000546
0.087906	1.137135	0.000689
0.087934	1.139763	0.000853
0.087962	1.124423	0.000998
0.087990	1.095228	0.001086
0.088018	1.059296	0.001096
0.088046	1.025072	0.001023
0.088074	1.000384	0.000882
0.088102	0.990703	0.000702
0.088130	0.997972	0.000522
0.088158	1.020265	0.000379
0.088186	1.052324	0.000299
0.088214	1.086830	0.000296
0.088242	1.116107	0.000366
0.088270	1.133861	0.000487
0.088298	1.136555	0.000628
0.088326	1.124142	0.000754
0.088354	1.099974	0.000834
0.088382	1.069967	0.000849
0.088410	1.041197	0.000793
0.088438	1.020279	0.000679
0.088466	1.011890	0.000531
0.088494	1.017762	0.000381
0.088523	1.036370	0.000260
0.088551	1.063360	0.000192
0.088579	1.092597	0.000188
0.088607	1.117595	0.000247
0.088635	1.132985	0.000351
0.088663	1.135698	0.000473
0.088691	1.125597	0.000584
0.088719	1.105435	0.000657
0.088747	1.080165	0.000674
0.088775	1.055769	0.000631
0.088803	1.037885	0.000538
0.088831	1.030546	0.000414
0.088859	1.035310	0.000286
0.088887	1.050967	0.000182
0.088915	1.073885	0.000122
0.088943	1.098878	0.000119
0.088971	1.120417	0.000168
0.088999	1.133882	0.000258
0.089027	1.136583	0.000365
0.089055	1.128318	0.000463
0.089083	1.111363	0.000530
0.089111	1.089898	0.000549
0.089139	1.069023	0.000515
0.089167	1.053588	0.000437
0.089195	1.047103	0.000332
0.089223	1.050981	0.000222
0.089251	1.064263	0.000131
0.089279	1.083893	0.000078
0.089307	1.105452	0.000073
0.089335	1.124184	0.000116
0.089363	1.136077	0.000194
0.089391	1.138748	0.000289
0.089419	1.131950	0.000377
0.089447	1.117572	0.000438
0.089475	1.099174	0.000458
0.089504	1.081144	0.000432
0.089532	1.067690	0.000366
0.089560	1.061899	0.000274
0.089588	1.065062	0.000178
0.089616	1.076421	0.000097
0.089644	1.093386	0.000049
0.089672	1.112157	0.000044
0.089700	1.128604	0.000081
0.089728	1.139210	0.000150
0.089756	1.141844	0.000234
0.089784	1.136222	0.000314
0.089812	1.123924	0.000371
0.089840	1.108006	0.000392
0.089868	1.092278	0.000371
0.089896	1.080429	0.000315
0.089924	1.075199	0.000234
0.089952	1.077778	0.000148
0.089980	1.087573	0.000076
0.090008	1.102370	0.000032
0.090036	1.118870	0.000025
0.090064	1.133455	0.000057
0.090092	1.143007	0.000119
0.090120	1.145604	0.000195
0.090148	1.140930	0.000269
0.090176	1.130315	0.000322
0.090204	1.116406	0.000343
0.090232	1.102542	0.000327
0.090260	1.091990	0.000278
0.090288	1.087209	0.000207
0.090316	1.089308	0.000129
0.090344	1.097823	0.000062
0.090372	1.110851	0.000021
0.090400	1.125500	0.000013
0.090428	1.138567	0.000041
0.090456	1.147259	0.000097
0.090484	1.149822	0.000167
0.090513	1.145916	0.000236
0.090541	1.136665	0.000287
0.090569	1.124382	0.000308
0.090597	1.112025	0.000296
0.090625	1.102517	0.000253
0.090653	1.098089	0.000188
0.090681	1.099786	0.000116
0.090709	1.107252	0.000054
0.090737	1.118834	0.000014
0.090765	1.131975	0.000006
0.090793	1.143807	0.000031
0.090821	1.151802	0.000082
0.090849	1.154340	0.000147
0.090877	1.151057	0.000212
0.090905	1.142911	0.000262
0.090933	1.131942	0.000284
0.090961	1.120797	0.000275
0.090989	1.112121	0.000236
0.091017	1.107963	0.000176
0.091045	1.109317	0.000109
0.091073	1.115918	0.000050
0.091101	1.126320	0.000011
0.091129	1.138237	0.000002
0.091157	1.149071	0.000024
0.091185	1.156508	0.000072
0.091213	1.159033	0.000134
0.091241	1.156260	0.000197
0.091269	1.149007	0.000245
0.091297	1.139092	0.000269
0.091325	1.128910	0.000262
0.091353	1.120885	0.000226
0.091381	1.116921	0.000170
0.091409	1.117976	0.000106
0.091437	1.123864	0.000049
0.091465	1.133307	0.000011
0.091493	1.144238	0.000001
0.091522	1.154279	0.000020
0.091550	1.161281	0.000066
0.091578	1.163809	0.000126
0.091606	1.161454	0.000187
0.091634	1.154917	0.000236
0.091662	1.145836	0.000261
0.091690	1.136405	0.000256
0.091718	1.128871	0.000223
0.091746	1.125030	0.000169
0.091774	1.125818	0.000107
0.091802	1.131118	0.000050
0.091830	1.139789	0.000012
0.091858	1.149941	0.000000
0.091886	1.159368	0.000019
0.091914	1.166047	0.000063
0.091942	1.168599	0.000122
0.091970	1.166588	0.000183
0.091998	1.160618	0.000233
0.092026	1.152180	0.000260
0.092054	1.143310	0.000257
0.092082	1.136123	0.000226
0.092110	1.132335	0.000174
0.092138	1.132877	0.000112
0.092166	1.137692	0.000054
0.092194	1.145755	0.000014
0.092222	1.155313	0.000002
0.092250	1.164290	0.000019
0.092278	1.170754	0.000062
0.092306	1.173357	0.000122
0.092334	1.171633	0.000185
0.092362	1.166099	0.000238
0.092390	1.158131	0.000267
0.092418	1.149647	0.000267
0.092446	1.142668	0.000237
0.092474	1.138861	0.000184
0.092503	1.139166	0.000121
0.092531	1.143585	0.000061
0.092559	1.151187	0.000019
0.092587	1.160326	0.000004
0.092615	1.169012	0.000020
0.092643	1.175370	0.000064
0.092671	1.178060	0.000127
0.092699	1.176576	0.000194
0.092727	1.171361	0.000250
0.092755	1.163700	0.000284
0.092783	1.155429	0.000286
0.092811	1.148514	0.000257
0.092839	1.144607	0.000202
0.092867	1.144673	0.000136
0.092895	1.148775	0.000072
0.092923	1.156058	0.000025
0.092951	1.164948	0.000007
0.092979	1.173510	0.000023
0.093007	1.179884	0.000070
0.093035	1.182709	0.000137
0.093063	1.181429	0.000211
0.093091	1.176419	0.000274
0.093119	1.168899	0.000313
0.093147	1.160657	0.000318
0.093175	1.153647	0.000289
0.093203	1.149539	0.000231
0.093231	1.149351	0.000158
0.093259	1.153207	0.000087
0.093287	1.160317	0.000034
0.093315	1.169147	0.000013
0.093343	1.177772	0.000029
0.093371	1.184307	0.000080
0.093399	1.187336	0.000155
0.093427	1.186233	0.000239
0.093455	1.181310	0.000313
0.093483	1.173743	0.000361
0.093512	1.165316	0.000371
0.093540	1.158013	0.000340
0.093568	1.153572	0.000277
0.093596	1.153092	0.000194
0.093624	1.156774	0.000111
0.093652	1.163875	0.000048
0.093680	1.172872	0.000021
0.093708	1.181797	0.000038
0.093736	1.188686	0.000096
0.093764	1.192021	0.000186
0.093792	1.191080	0.000287
0.093820	1.186104	0.000379
0.093848	1.178255	0.000440
0.093876	1.169357	0.000457
0.093904	1.161491	0.000425
0.093932	1.156523	0.000351
0.093960	1.155679	0.000252
0.093988	1.159262	0.000150
0.094016	1.166568	0.000071
0.094044	1.176039	0.000034
0.094072	1.185599	0.000052
0.094100	1.193128	0.000124
0.094128	1.196935	0.000238
0.094156	1.196149	0.000370
0.094184	1.190934	0.000492
0.094212	1.182463	0.000578
0.094240	1.172668	0.000608
0.094268	1.163817	0.000574
0.094296	1.158002	0.000483
0.094324	1.156659	0.000355
0.094352	1.160235	0.000220
0.094380	1.168061	0.000111
0.094408	1.178484	0.000058
