# Freq_range	Reflection	Transmission
0.086000	0.876161	0.015970
0.086028	0.920643	0.015107
0.086056	0.983196	0.014717
0.086084	1.049235	0.014736
0.086112	1.103848	0.015017
0.086140	1.135185	0.015364
0.086168	1.137049	0.015577
0.086196	1.110114	0.015501
0.086224	1.061565	0.015052
0.086252	1.003257	0.014240
0.086280	0.948891	0.013158
0.086308	0.910844	0.011960
0.086336	0.897414	0.010824
0.086364	0.911058	0.009910
0.086392	0.948022	0.009328
0.086420	0.999381	0.009111
0.086448	1.053220	0.009211
0.086476	1.097428	0.009517
0.086505	1.122446	0.009876
0.086533	1.123361	0.010133
0.086561	1.100872	0.010164
0.086589	1.060966	0.009901
0.086617	1.013402	0.009349
0.086645	0.969380	0.008580
0.086673	0.938961	0.007711
0.086701	0.928820	0.006883
0.086729	0.940836	0.006224
0.086757	0.971801	0.005819
0.086785	1.014307	0.005698
0.086813	1.058545	0.005827
0.086841	1.094602	0.006119
0.086869	1.114712	0.006456
0.086897	1.114955	0.006714
0.086925	1.096034	0.006794
0.086953	1.062981	0.006643
0.086981	1.023889	0.006260
0.087009	0.987987	0.005701
0.087037	0.963516	0.005058
0.087065	0.955884	0.004442
0.087093	0.966523	0.003954
0.087121	0.992677	0.003664
0.087149	1.028143	0.003598
0.087177	1.064783	0.003730
0.087205	1.094419	0.003994
0.087233	1.110696	0.004294
0.087261	1.110469	0.004534
0.087289	1.094429	0.004634
0.087317	1.066839	0.004549
0.087345	1.034466	0.004278
0.087373	1.004976	0.003862
0.087401	0.985170	0.003377
0.087429	0.979460	0.002908
0.087457	0.988936	0.002539
0.087485	1.011210	0.002327
0.087514	1.041048	0.002292
0.087542	1.071641	0.002416
0.087570	1.096192	0.002647
0.087598	1.109460	0.002909
0.087626	1.108906	0.003124
0.087654	1.095203	0.003227
0.087682	1.071990	0.003181
0.087710	1.044975	0.002985
0.087738	1.020576	0.002670
0.087766	1.004448	0.002296
0.087794	1.000218	0.001933
0.087822	1.008711	0.001648
0.087850	1.027840	0.001488
0.087878	1.053154	0.001471
0.087906	1.078909	0.001583
0.087934	1.099409	0.001783
0.087962	1.110299	0.002009
0.087990	1.109520	0.002198
0.088018	1.097720	0.002297
0.088046	1.078034	0.002275
0.088074	1.055313	0.002129
0.088102	1.034976	0.001885
0.088130	1.021763	0.001591
0.088158	1.018675	0.001305
0.088186	1.026335	0.001080
0.088214	1.042903	0.000956
0.088242	1.064561	0.000950
0.088270	1.086423	0.001049
0.088298	1.103678	0.001221
0.088326	1.112679	0.001415
0.088354	1.111745	0.001580
0.088382	1.101499	0.001672
0.088410	1.084665	0.001663
0.088438	1.065402	0.001553
