# Freq_range	Reflection	Transmission
0.060000	0.161225	1.018579
0.060080	0.177225	0.997997
0.060160	0.193704	0.976576
0.060240	0.210576	0.954398
0.060320	0.227750	0.931551
0.060400	0.245132	0.908132
0.060480	0.262633	0.884241
0.060561	0.280157	0.859978
0.060641	0.297613	0.835447
0.060721	0.314918	0.810751
0.060801	0.331986	0.785986
0.060881	0.348741	0.761253
0.060961	0.365114	0.736641
0.061041	0.381041	0.712236
0.061121	0.396464	0.688118
0.061201	0.411337	0.664361
0.061281	0.425617	0.641029
0.061361	0.439271	0.618181
0.061441	0.452273	0.595866
0.061522	0.464605	0.574129
0.061602	0.476252	0.553005
0.061682	0.487210	0.532524
0.061762	0.497477	0.512708
0.061842	0.507058	0.493574
0.061922	0.515960	0.475133
0.062002	0.524197	0.457391
0.062082	0.531785	0.440351
0.062162	0.538741	0.424009
0.062242	0.545088	0.408359
0.062322	0.550847	0.393393
0.062402	0.556042	0.379100
0.062482	0.560699	0.365466
0.062563	0.564845	0.352474
0.062643	0.568503	0.340109
0.062723	0.571702	0.328352
0.062803	0.574467	0.317185
0.062883	0.576823	0.306589
0.062963	0.578795	0.296542
0.063043	0.580409	0.287027
0.063123	0.581687	0.278022
0.063203	0.582652	0.269509
0.063283	0.583326	0.261469
0.063363	0.583729	0.253881
0.063443	0.583881	0.246729
0.063524	0.583801	0.239994
0.063604	0.583506	0.233659
0.063684	0.583012	0.227708
0.063764	0.582335	0.222125
0.063844	0.581489	0.216895
0.063924	0.580487	0.212004
0.064004	0.579342	0.207438
0.064084	0.578065	0.203184
0.064164	0.576665	0.199231
0.064244	0.575152	0.195568
0.064324	0.573536	0.192183
0.064404	0.571823	0.189068
0.064484	0.570020	0.186213
0.064565	0.568133	0.183611
0.064645	0.566169	0.181254
0.064725	0.564129	0.179135
0.064805	0.562021	0.177248
0.064885	0.559846	0.175587
0.064965	0.557607	0.174150
0.065045	0.555305	0.172931
0.065125	0.552943	0.171927
0.065205	0.550520	0.171136
0.065285	0.548038	0.170556
0.065365	0.545495	0.170187
0.065445	0.542891	0.170027
0.065526	0.540224	0.170078
0.065606	0.537492	0.170339
0.065686	0.534692	0.170814
0.065766	0.531822	0.171505
0.065846	0.528877	0.172415
0.065926	0.525854	0.173550
0.066006	0.522746	0.174913
0.066086	0.519550	0.176511
0.066166	0.516259	0.178351
0.066246	0.512866	0.180441
0.066326	0.509364	0.182791
0.066406	0.505744	0.185410
0.066486	0.501999	0.188310
0.066567	0.498118	0.191503
0.066647	0.494091	0.195003
0.066727	0.489908	0.198827
0.066807	0.485556	0.202989
0.066887	0.481023	0.207509
0.066967	0.476294	0.212407
0.067047	0.471356	0.217704
0.067127	0.466193	0.223424
0.067207	0.460788	0.229591
0.067287	0.455124	0.236234
0.067367	0.449183	0.243381
0.067447	0.442944	0.251064
0.067528	0.436388	0.259316
0.067608	0.429493	0.268172
0.067688	0.422237	0.277671
0.067768	0.414599	0.287851
0.067848	0.406554	0.298753
0.067928	0.398080	0.310419
0.068008	0.389154	0.322894
0.068088	0.379755	0.336221
0.068168	0.369861	0.350444
0.068248	0.359452	0.365606
0.068328	0.348514	0.381747
0.068408	0.337033	0.398904
0.068488	0.325001	0.417109
0.068569	0.312416	0.436389
0.068649	0.299285	0.456757
0.068729	0.285620	0.478220
0.068809	0.271449	0.500765
0.068889	0.256806	0.524367
0.068969	0.241745	0.548975
0.069049	0.226330	0.574519
0.069129	0.210645	0.600901
0.069209	0.194788	0.627994
0.069289	0.178876	0.655641
0.069369	0.163040	0.683655
0.069449	0.147426	0.711820
0.069530	0.132189	0.739892
0.069610	0.117491	0.767607
0.069690	0.103495	0.794685
0.069770	0.090358	0.820836
0.069850	0.078225	0.845779
0.069930	0.067220	0.869241
0.070010	0.057442	0.890978
0.070090	0.048957	0.910780
0.070170	0.041795	0.928485
0.070250	0.035948	0.943982
0.070330	0.031366	0.957220
0.070410	0.027964	0.968207
0.070490	0.025622	0.977010
0.070571	0.024194	0.983755
0.070651	0.023509	0.988612
0.070731	0.023386	0.991796
0.070811	0.023634	0.993552
0.070891	0.024066	0.994151
0.070971	0.024506	0.993873
0.071051	0.024789	0.993003
0.071131	0.024775	0.991820
0.071211	0.024351	0.990592
0.071291	0.023436	0.989565
0.071371	0.021986	0.988957
0.071451	0.020002	0.988955
0.071532	0.017530	0.989702
0.071612	0.014675	0.991294
0.071692	0.011603	0.993767
0.071772	0.008551	0.997093
0.071852	0.005838	1.001159
0.071932	0.003874	1.005761
0.072012	0.003164	1.010586
0.072092	0.004318	1.015200
0.072172	0.008041	1.019034
0.072252	0.015127	1.021388
0.072332	0.026423	1.021434
0.072412	0.042784	1.018244
0.072492	0.065000	1.010842
0.072573	0.093710	0.998269
0.072653	0.129294	0.979685
0.072733	0.171784	0.954470
0.072813	0.220781	0.922326
0.072893	0.275431	0.883355
0.072973	0.334452	0.838082
0.073053	0.396228	0.787440
0.073133	0.458945	0.732677
0.073213	0.520760	0.675244
0.073293	0.579961	0.616648
0.073373	0.635092	0.558330
0.073453	0.685043	0.501554
0.073534	0.729074	0.447349
0.073614	0.766810	0.396477
0.073694	0.798190	0.349438
0.073774	0.823413	0.306499
0.073854	0.842867	0.267734
0.073934	0.857065	0.233065
0.074014	0.866595	0.202306
0.074094	0.872069	0.175200
0.074174	0.874093	0.151446
0.074254	0.873246	0.130730
0.074334	0.870061	0.112732
0.074414	0.865021	0.097147
0.074494	0.858550	0.083686
0.074575	0.851019	0.072085
0.074655	0.842745	0.062102
0.074735	0.833995	0.053522
0.074815	0.824992	0.046155
0.074895	0.815917	0.039834
0.074975	0.806917	0.034412
0.075055	0.798111	0.029762
0.075135	0.789588	0.025773
0.075215	0.781419	0.022351
0.075295	0.773655	0.019415
0.075375	0.766331	0.016893
0.075455	0.759471	0.014726
0.075536	0.753089	0.012863
0.075616	0.747189	0.011260
0.075696	0.741770	0.009879
0.075776	0.736826	0.008687
0.075856	0.732345	0.007659
0.075936	0.728315	0.006770
0.076016	0.724718	0.006001
0.076096	0.721538	0.005334
0.076176	0.718756	0.004755
0.076256	0.716352	0.004251
0.076336	0.714308	0.003812
0.076416	0.712604	0.003430
0.076496	0.711220	0.003095
0.076577	0.710137	0.002802
0.076657	0.709339	0.002544
0.076737	0.708807	0.002318
0.076817	0.708524	0.002118
0.076897	0.708474	0.001942
0.076977	0.708643	0.001785
0.077057	0.709015	0.001646
0.077137	0.709578	0.001523
0.077217	0.710317	0.001412
0.077297	0.711221	0.001313
0.077377	0.712279	0.001225
0.077457	0.713480	0.001145
0.077538	0.714814	0.001073
0.077618	0.716271	0.001008
0.077698	0.717843	0.000948
0.077778	0.719522	0.000894
0.077858	0.721299	0.000845
0.077938	0.723168	0.000800
0.078018	0.725122	0.000759
0.078098	0.727155	0.000721
0.078178	0.729261	0.000686
0.078258	0.731435	0.000654
0.078338	0.733671	0.000624
0.078418	0.735966	0.000596
0.078498	0.738314	0.000570
0.078579	0.740712	0.000546
0.078659	0.743156	0.000523
0.078739	0.745643	0.000502
0.078819	0.748169	0.000482
0.078899	0.750731	0.000463
0.078979	0.753327	0.000445
0.079059	0.755954	0.000428
0.079139	0.758609	0.000413
0.079219	0.761291	0.000398
0.079299	0.763998	0.000384
0.079379	0.766727	0.000370
0.079459	0.769476	0.000357
0.079540	0.772245	0.000345
0.079620	0.775031	0.000334
0.079700	0.777833	0.000322
0.079780	0.780650	0.000312
0.079860	0.783481	0.000302
0.079940	0.786324	0.000292
0.080020	0.789178	0.000283
0.080100	0.792042	0.000274
0.080180	0.794916	0.000266
0.080260	0.797798	0.000258
0.080340	0.800688	0.000250
0.080420	0.803585	0.000242
0.080501	0.806488	0.000235
0.080581	0.809396	0.000228
0.080661	0.812310	0.000222
0.080741	0.815227	0.000216
0.080821	0.818149	0.000209
0.080901	0.821073	0.000204
0.080981	0.824000	0.000198
0.081061	0.826930	0.000193
0.081141	0.829861	0.000187
0.081221	0.832793	0.000182
0.081301	0.835727	0.000177
0.081381	0.838661	0.000173
0.081461	0.841595	0.000168
0.081542	0.844529	0.000164
0.081622	0.847463	0.000160
0.081702	0.850396	0.000156
0.081782	0.853328	0.000152
0.081862	0.856258	0.000148
0.081942	0.859187	0.000144
0.082022	0.862114	0.000141
0.082102	0.865039	0.000137
0.082182	0.867961	0.000134
0.082262	0.870881	0.000131
0.082342	0.873797	0.000128
0.082422	0.876711	0.000125
0.082503	0.879621	0.000122
0.082583	0.882527	0.000119
0.082663	0.885430	0.000117
0.082743	0.888328	0.000114
0.082823	0.891223	0.000112
0.082903	0.894112	0.000109
0.082983	0.896998	0.000107
0.083063	0.899878	0.000105
0.083143	0.902753	0.000102
0.083223	0.905623	0.000100
0.083303	0.908487	0.000098
0.083383	0.911345	0.000096
0.083463	0.914198	0.000094
0.083544	0.917045	0.000092
0.083624	0.919885	0.000091
0.083704	0.922719	0.000089
0.083784	0.925546	0.000087
