# Freq_range	Reflection	Transmission
0.060000	0.164754	1.012294
0.060080	0.180863	0.991495
0.060160	0.197429	0.969880
0.060240	0.214363	0.947533
0.060320	0.231575	0.924545
0.060400	0.248970	0.901014
0.060480	0.266459	0.877040
0.060561	0.283946	0.852723
0.060641	0.301343	0.828168
0.060721	0.318565	0.803476
0.060801	0.335530	0.778745
0.060881	0.352164	0.754072
0.060961	0.368397	0.729544
0.061041	0.384170	0.705248
0.061121	0.399426	0.681259
0.061201	0.414121	0.657651
0.061281	0.428216	0.634483
0.061361	0.441678	0.611815
0.061441	0.454482	0.589692
0.061522	0.466615	0.568157
0.061602	0.478062	0.547244
0.061682	0.488820	0.526979
0.061762	0.498890	0.507384
0.061842	0.508276	0.488473
0.061922	0.516989	0.470257
0.062002	0.525042	0.452740
0.062082	0.532452	0.435922
0.062162	0.539236	0.419801
0.062242	0.545419	0.404369
0.062322	0.551021	0.389617
0.062402	0.556067	0.375532
0.062482	0.560583	0.362101
0.062563	0.564596	0.349308
0.062643	0.568129	0.337135
0.062723	0.571209	0.325564
0.062803	0.573864	0.314577
0.062883	0.576117	0.304153
0.062963	0.577994	0.294274
0.063043	0.579518	0.284920
0.063123	0.580714	0.276070
0.063203	0.581601	0.267706
0.063283	0.582205	0.259808
0.063363	0.582542	0.252358
0.063443	0.582634	0.245337
0.063524	0.582497	0.238729
0.063604	0.582151	0.232515
0.063684	0.581609	0.226681
0.063764	0.580888	0.221210
0.063844	0.580001	0.216088
0.063924	0.578961	0.211301
0.064004	0.577780	0.206835
0.064084	0.576469	0.202679
0.064164	0.575038	0.198820
0.064244	0.573495	0.195247
0.064324	0.571851	0.191951
0.064404	0.570110	0.188921
0.064484	0.568281	0.186151
0.064565	0.566369	0.183630
0.064645	0.564379	0.181353
0.064725	0.562314	0.179313
0.064805	0.560181	0.177504
0.064885	0.557980	0.175921
0.064965	0.555714	0.174559
0.065045	0.553385	0.173416
0.065125	0.550995	0.172488
0.065205	0.548543	0.171773
0.065285	0.546030	0.171270
0.065365	0.543455	0.170977
0.065445	0.540817	0.170895
0.065526	0.538114	0.171025
0.065606	0.535344	0.171367
0.065686	0.532503	0.171924
0.065766	0.529590	0.172699
0.065846	0.526599	0.173696
0.065926	0.523526	0.174919
0.066006	0.520367	0.176374
0.066086	0.517115	0.178068
0.066166	0.513764	0.180007
0.066246	0.510307	0.182200
0.066326	0.506737	0.184657
0.066406	0.503045	0.187389
0.066486	0.499221	0.190406
0.066567	0.495258	0.193722
0.066647	0.491143	0.197352
0.066727	0.486865	0.201312
0.066807	0.482413	0.205617
0.066887	0.477773	0.210288
0.066967	0.472931	0.215345
0.067047	0.467873	0.220810
0.067127	0.462582	0.226707
