# Freq_range	Reflection	Transmission
0.060000	0.168337	1.005943
0.060080	0.184550	0.984932
0.060160	0.201197	0.963130
0.060240	0.218188	0.940621
0.060320	0.235432	0.917499
0.060400	0.252834	0.893863
0.060480	0.270304	0.869813
0.060561	0.287750	0.845451
0.060641	0.305080	0.820880
0.060721	0.322215	0.796201
0.060801	0.339072	0.771510
0.060881	0.355579	0.746903
0.060961	0.371670	0.722467
0.061041	0.387286	0.698284
0.061121	0.402372	0.674431
0.061201	0.416888	0.650975
0.061281	0.430794	0.627977
0.061361	0.444063	0.605491
0.061441	0.456670	0.583564
0.061522	0.468603	0.562233
0.061602	0.479850	0.541531
0.061682	0.490409	0.521484
0.061762	0.500282	0.502110
0.061842	0.509476	0.483423
0.061922	0.518000	0.465432
0.062002	0.525870	0.448139
0.062082	0.533104	0.431544
0.062162	0.539719	0.415642
0.062242	0.545739	0.400427
0.062322	0.551186	0.385886
0.062402	0.556086	0.372009
0.062482	0.560462	0.358780
0.062563	0.564343	0.346183
0.062643	0.567753	0.334200
0.062723	0.570718	0.322814
0.062803	0.573264	0.312004
0.062883	0.575416	0.301752
0.062963	0.577198	0.292039
0.063043	0.578635	0.282843
0.063123	0.579749	0.274147
0.063203	0.580561	0.265929
0.063283	0.581094	0.258173
0.063363	0.581367	0.250858
0.063443	0.581399	0.243968
0.063524	0.581207	0.237485
0.063604	0.580810	0.231391
0.063684	0.580221	0.225673
0.063764	0.579456	0.220313
0.063844	0.578529	0.215298
0.063924	0.577451	0.210614
0.064004	0.576234	0.206247
0.064084	0.574890	0.202187
0.064164	0.573428	0.198421
0.064244	0.571856	0.194938
0.064324	0.570183	0.191730
0.064404	0.568415	0.188786
0.064484	0.566559	0.186098
0.064565	0.564621	0.183659
0.064645	0.562605	0.181462
0.064725	0.560515	0.179500
0.064805	0.558355	0.177769
0.064885	0.556128	0.176262
0.064965	0.553836	0.174977
0.065045	0.551479	0.173910
0.065125	0.549061	0.173058
0.065205	0.546579	0.172419
0.065285	0.544034	0.171992
0.065365	0.541427	0.171777
0.065445	0.538753	0.171773
0.065526	0.536014	0.171982
0.065606	0.533204	0.172405
0.065686	0.530323	0.173045
0.065766	0.527365	0.173905
0.065846	0.524327	0.174989
0.065926	0.521204	0.176302
0.066006	0.517991	0.177850
0.066086	0.514682	0.179640
0.066166	0.511270	0.181679
0.066246	0.507748	0.183976
0.066326	0.504109	0.186542
0.066406	0.500342	0.189387
0.066486	0.496440	0.192523
0.066567	0.492392	0.195964
0.066647	0.488187	0.199725
0.066727	0.483814	0.203822
0.066807	0.479260	0.208273
0.066887	0.474512	0.213097
0.066967	0.469555	0.218314
0.067047	0.464374	0.223949
0.067127	0.458953	0.230025
0.067207	0.453275	0.236568
0.067287	0.447321	0.243608
0.067367	0.441073	0.251174
0.067447	0.434511	0.259299
0.067528	0.427614	0.268016
0.067608	0.420360	0.277363
0.067688	0.412729	0.287376
0.067768	0.404697	0.298096
0.067848	0.396242	0.309563
0.067928	0.387343	0.321819
0.068008	0.377977	0.334906
0.068088	0.368124	0.348867
0.068168	0.357768	0.363741
0.068248	0.346891	0.379569
0.068328	0.335481	0.396385
0.068408	0.323533	0.414220
0.068488	0.311042	0.433099
0.068569	0.298017	0.453035
0.068649	0.284469	0.474034
0.068729	0.270425	0.496084
0.068809	0.255920	0.519161
0.068889	0.241005	0.543217
0.068969	0.225742	0.568184
0.069049	0.210211	0.593970
0.069129	0.194510	0.620453
0.069209	0.178748	0.647485
0.069289	0.163055	0.674887
0.069369	0.147570	0.702454
0.069449	0.132445	0.729954
0.069530	0.117835	0.757132
0.069610	0.103901	0.783722
0.069690	0.090794	0.809445
0.069770	0.078659	0.834029
0.069850	0.067617	0.857211
0.069930	0.057770	0.878750
0.070010	0.049185	0.898441
0.070090	0.041897	0.916118
0.070170	0.035903	0.931669
0.070250	0.031162	0.945033
0.070330	0.027597	0.956208
0.070410	0.025095	0.965249
0.070490	0.023519	0.972266
0.070571	0.022707	0.977415
0.070651	0.022484	0.980894
0.070731	0.022666	0.982935
0.070811	0.023070	0.983790
0.070891	0.023521	0.983728
0.070971	0.023858	0.983023
0.071051	0.023938	0.981944
0.071131	0.023646	0.980750
0.071211	0.022895	0.979681
0.071291	0.021635	0.978954
0.071371	0.019856	0.978753
0.071451	0.017594	0.979225
0.071532	0.014935	0.980469
0.071612	0.012027	0.982534
0.071692	0.009082	0.985404
0.071772	0.006391	0.988990
0.071852	0.004325	0.993114
0.071932	0.003351	0.997500
0.072012	0.004028	1.001761
0.072092	0.007015	1.005386
0.072172	0.013052	1.007736
0.072252	0.022943	1.008054
0.072332	0.037510	1.005480
0.072412	0.057537	0.999094
0.072492	0.083686	0.987978
0.072573	0.116406	0.971297
0.072653	0.155839	0.948395
0.072733	0.201740	0.918895
0.072813	0.253436	0.882775
0.072893	0.309833	0.840411
0.072973	0.369484	0.792569
0.073053	0.430705	0.740348
0.073133	0.491726	0.685074
0.073213	0.550844	0.628178
0.073293	0.606559	0.571065
0.073373	0.657667	0.515012
0.073453	0.703314	0.461089
0.073534	0.742994	0.410123
0.073614	0.776525	0.362690
0.073694	0.803992	0.319134
0.073774	0.825693	0.279597
0.073854	0.842069	0.244063
0.073934	0.853654	0.212394
0.074014	0.861027	0.184372
0.074094	0.864774	0.159727
0.074174	0.865467	0.138160
0.074254	0.863638	0.119366
0.074334	0.859776	0.103046
0.074414	0.854317	0.088915
0.074494	0.847645	0.076707
0.074575	0.840091	0.066180
0.074655	0.831936	0.057115
0.074735	0.823417	0.049318
0.074815	0.814731	0.042616
0.074895	0.806037	0.036858
0.074975	0.797464	0.031912
0.075055	0.789114	0.027664
0.075135	0.781066	0.024015
0.075215	0.773379	0.020880
0.075295	0.766096	0.018184
0.075375	0.759247	0.015865
0.075455	0.752851	0.013869
0.075536	0.746917	0.012150
0.075616	0.741449	0.010667
0.075696	0.736442	0.009388
0.075776	0.731889	0.008282
0.075856	0.727779	0.007325
0.075936	0.724097	0.006496
0.076016	0.720829	0.005777
0.076096	0.717956	0.005152
0.076176	0.715461	0.004609
0.076256	0.713325	0.004135
0.076336	0.711530	0.003721
0.076416	0.710056	0.003359
0.076496	0.708887	0.003041
0.076577	0.708003	0.002762
0.076657	0.707387	0.002517
0.076737	0.707024	0.002301
0.076817	0.706897	0.002109
0.076897	0.706991	0.001939
0.076977	0.707292	0.001789
0.077057	0.707785	0.001654
0.077137	0.708458	0.001535
0.077217	0.709300	0.001427
0.077297	0.710297	0.001331
0.077377	0.711441	0.001244
0.077457	0.712720	0.001166
0.077538	0.714124	0.001095
0.077618	0.715646	0.001031
0.077698	0.717277	0.000972
0.077778	0.719009	0.000919
0.077858	0.720835	0.000870
0.077938	0.722749	0.000825
0.078018	0.724742	0.000784
0.078098	0.726811	0.000746
0.078178	0.728950	0.000711
0.078258	0.731153	0.000679
0.078338	0.733415	0.000648
0.078418	0.735733	0.000620
0.078498	0.738102	0.000594
0.078579	0.740518	0.000569
0.078659	0.742979	0.000546
0.078739	0.745480	0.000525
0.078819	0.748018	0.000505
0.078899	0.750591	0.000485
0.078979	0.753196	0.000467
0.079059	0.755831	0.000450
0.079139	0.758494	0.000434
0.079219	0.761181	0.000419
0.079299	0.763892	0.000404
0.079379	0.766625	0.000391
0.079459	0.769377	0.000378
0.079540	0.772147	0.000365
0.079620	0.774935	0.000353
0.079700	0.777737	0.000342
0.079780	0.780554	0.000331
0.079860	0.783384	0.000321
0.079940	0.786225	0.000311
0.080020	0.789078	0.000301
0.080100	0.791940	0.000292
0.080180	0.794811	0.000284
0.080260	0.797691	0.000275
0.080340	0.800578	0.000267
0.080420	0.803471	0.000260
0.080501	0.806370	0.000252
0.080581	0.809275	0.000245
0.080661	0.812184	0.000238
0.080741	0.815097	0.000232
0.080821	0.818014	0.000226
0.080901	0.820934	0.000219
0.080981	0.823856	0.000214
0.081061	0.826780	0.000208
0.081141	0.829706	0.000203
0.081221	0.832634	0.000197
0.081301	0.835562	0.000192
0.081381	0.838491	0.000188
0.081461	0.841419	0.000183
0.081542	0.844348	0.000178
0.081622	0.847276	0.000174
0.081702	0.850203	0.000170
0.081782	0.853129	0.000166
0.081862	0.856054	0.000162
0.081942	0.858977	0.000158
0.082022	0.861898	0.000155
0.082102	0.864817	0.000151
0.082182	0.867733	0.000148
0.082262	0.870647	0.000144
0.082342	0.873557	0.000141
0.082422	0.876464	0.000138
0.082503	0.879368	0.000135
0.082583	0.882269	0.000132
0.082663	0.885165	0.000130
0.082743	0.888057	0.000127
0.082823	0.890945	0.000124
0.082903	0.893828	0.000122
0.082983	0.896707	0.000119
0.083063	0.899581	0.000117
0.083143	0.902449	0.000115
0.083223	0.905312	0.000113
0.083303	0.908170	0.000111
0.083383	0.911022	0.000109
0.083463	0.913868	0.000107
0.083544	0.916707	0.000105
0.083624	0.919541	0.000103
0.083704	0.922368	0.000101
0.083784	0.925188	0.000099
0.083864	0.928001	0.000098
0.083944	0.930807	0.000096
0.084024	0.933605	0.000095
0.084104	0.936397	0.000093
0.084184	0.939180	0.000092
0.084264	0.941956	0.000090
0.084344	0.944723	0.000089
0.084424	0.947482	0.000087
0.084505	0.950233	0.000086
0.084585	0.952975	0.000085
0.084665	0.955708	0.000084
0.084745	0.958432	0.000083
0.084825	0.961147	0.000082
0.084905	0.963852	0.000080
0.084985	0.966548	0.000079
0.085065	0.969234	0.000078
0.085145	0.971910	0.000077
0.085225	0.974575	0.000077
0.085305	0.977231	0.000076
0.085385	0.979876	0.000075
