# Freq_range	Reflection	Transmission
0.060000	0.166539	1.009127
0.060080	0.182701	0.988221
0.060160	0.199307	0.966512
0.060240	0.216271	0.944083
0.060320	0.233500	0.921027
0.060400	0.250899	0.897443
0.060480	0.268379	0.873429
0.060561	0.285846	0.849089
0.060641	0.303211	0.824525
0.060721	0.320390	0.799839
0.060801	0.337302	0.775127
0.060881	0.353873	0.750486
0.060961	0.370035	0.726003
0.061041	0.385730	0.701763
0.061121	0.400901	0.677841
0.061201	0.415507	0.654308
0.061281	0.429508	0.631225
0.061361	0.442873	0.608647
0.061441	0.455579	0.586622
0.061522	0.467612	0.565189
0.061602	0.478959	0.544381
0.061682	0.489617	0.524225
0.061762	0.499589	0.504740
0.061842	0.508878	0.485941
0.061922	0.517497	0.467838
0.062002	0.525458	0.450433
0.062082	0.532780	0.433727
0.062162	0.539479	0.417715
0.062242	0.545580	0.402392
0.062322	0.551105	0.387746
0.062402	0.556077	0.373765
0.062482	0.560523	0.360435
0.062563	0.564470	0.347740
0.062643	0.567941	0.335662
0.062723	0.570963	0.324184
0.062803	0.573564	0.313286
0.062883	0.575766	0.302949
0.062963	0.577595	0.293153
0.063043	0.579075	0.283878
0.063123	0.580230	0.275105
0.063203	0.581080	0.266814
0.063283	0.581648	0.258987
0.063363	0.581953	0.251605
0.063443	0.582015	0.244650
0.063524	0.581851	0.238104
0.063604	0.581479	0.231951
0.063684	0.580913	0.226175
0.063764	0.580170	0.220759
0.063844	0.579263	0.215691
0.063924	0.578204	0.210955
0.064004	0.577005	0.206539
0.064084	0.575678	0.202431
0.064164	0.574231	0.198619
0.064244	0.572673	0.195091
0.064324	0.571015	0.191839
0.064404	0.569260	0.188852
0.064484	0.567418	0.186123
0.064565	0.565493	0.183643
0.064645	0.563490	0.181406
0.064725	0.561413	0.179405
0.064805	0.559266	0.177635
0.064885	0.557052	0.176090
0.064965	0.554773	0.174767
0.065045	0.552431	0.173662
0.065125	0.550026	0.172772
0.065205	0.547559	0.172095
0.065285	0.545031	0.171630
0.065365	0.542440	0.171376
0.065445	0.539784	0.171333
0.065526	0.537062	0.171502
0.065606	0.534273	0.171885
0.065686	0.531412	0.172483
0.065766	0.528476	0.173300
0.065846	0.525463	0.174341
0.065926	0.522365	0.175609
0.066006	0.519179	0.177110
0.066086	0.515898	0.178852
0.066166	0.512517	0.180841
0.066246	0.509028	0.183086
0.066326	0.505423	0.185597
0.066406	0.501694	0.188385
0.066486	0.497831	0.191462
0.066567	0.493826	0.194841
0.066647	0.489666	0.198536
0.066727	0.485341	0.202564
0.066807	0.480838	0.206942
0.066887	0.476144	0.211689
0.066967	0.471245	0.216826
0.067047	0.466125	0.222375
0.067127	0.460769	0.228361
0.067207	0.455160	0.234810
0.067287	0.449279	0.241750
0.067367	0.443109	0.249210
0.067447	0.436628	0.257224
0.067528	0.429817	0.265824
0.067608	0.422653	0.275047
0.067688	0.415116	0.284931
0.067768	0.407183	0.295516
0.067848	0.398831	0.306841
0.067928	0.390038	0.318950
0.068008	0.380781	0.331884
0.068088	0.371042	0.345687
0.068168	0.360800	0.360399
0.068248	0.350039	0.376062
0.068328	0.338745	0.392711
0.068408	0.326911	0.410380
0.068488	0.314532	0.429093
0.068569	0.301613	0.448870
0.068649	0.288165	0.469716
0.068729	0.274211	0.491626
0.068809	0.259783	0.514578
0.068889	0.244929	0.538530
0.068969	0.229708	0.563418
0.069049	0.214198	0.589155
0.069129	0.198491	0.615626
0.069209	0.182696	0.642687
0.069289	0.166937	0.670165
0.069369	0.151354	0.697859
0.069449	0.136096	0.725540
0.069530	0.121320	0.752957
0.069610	0.107186	0.779841
0.069690	0.093851	0.805915
0.069770	0.081460	0.830900
0.069850	0.070144	0.854528
0.069930	0.060007	0.876550
0.070010	0.051127	0.896751
0.070090	0.043545	0.914954
0.070170	0.037267	0.931033
0.070250	0.032259	0.944917
0.070330	0.028451	0.956592
0.070410	0.025737	0.966100
0.070490	0.023984	0.973543
0.070571	0.023031	0.979068
0.070651	0.022706	0.982870
0.070731	0.022824	0.985174
0.070811	0.023200	0.986234
0.070891	0.023657	0.986318
0.070971	0.024026	0.985702
0.071051	0.024163	0.984661
0.071131	0.023943	0.983458
0.071211	0.023275	0.982340
0.071291	0.022100	0.981533
0.071371	0.020400	0.981228
0.071451	0.018200	0.981581
0.071532	0.015579	0.982706
0.071612	0.012672	0.984660
0.071692	0.009681	0.987443
0.071772	0.006882	0.990979
0.071852	0.004635	0.995108
0.071932	0.003390	0.999571
0.072012	0.003696	1.004000
0.072092	0.006199	1.007901
0.072172	0.011634	1.010653
0.072252	0.020802	1.011511
0.072332	0.034535	1.009620
0.072412	0.053639	1.004055
0.072492	0.078809	0.993879
0.072573	0.110546	0.978224
0.072653	0.149052	0.956385
0.072733	0.194151	0.927923
0.072813	0.245235	0.892747
0.072893	0.301266	0.851168
0.072973	0.360832	0.803897
0.073053	0.422258	0.751998
0.073133	0.483757	0.696785
0.073213	0.543587	0.639697
0.073293	0.600194	0.582171
0.073373	0.652312	0.525523
0.073453	0.699024	0.470874
0.073534	0.739770	0.419098
0.073614	0.774322	0.370816
0.073694	0.802733	0.326407
0.073774	0.825278	0.286043
0.073854	0.842388	0.249727
0.073934	0.854593	0.217335
0.074014	0.862475	0.188656
0.074094	0.866629	0.163420
0.074174	0.867632	0.141330
0.074254	0.866030	0.122076
0.074334	0.862323	0.105356
0.074414	0.856957	0.090878
0.074494	0.850327	0.078371
0.074575	0.842772	0.067588
0.074655	0.834583	0.058304
0.074735	0.826004	0.050321
0.074815	0.817237	0.043460
0.074895	0.808448	0.037568
0.074975	0.799769	0.032508
0.075055	0.791307	0.028165
0.075135	0.783142	0.024435
0.075215	0.775337	0.021231
0.075295	0.767936	0.018478
0.075375	0.760971	0.016111
0.075455	0.754462	0.014074
0.075536	0.748419	0.012320
0.075616	0.742845	0.010809
0.075696	0.737738	0.009505
0.075776	0.733089	0.008378
0.075856	0.728889	0.007405
0.075936	0.725123	0.006561
0.076016	0.721775	0.005830
0.076096	0.718827	0.005195
0.076176	0.716262	0.004643
0.076256	0.714062	0.004162
0.076336	0.712206	0.003742
0.076416	0.710676	0.003375
0.076496	0.709454	0.003054
0.076577	0.708522	0.002771
0.076657	0.707863	0.002523
0.076737	0.707458	0.002304
0.076817	0.707293	0.002111
0.076897	0.707352	0.001939
0.076977	0.707621	0.001787
0.077057	0.708085	0.001652
0.077137	0.708731	0.001531
0.077217	0.709548	0.001423
0.077297	0.710523	0.001326
0.077377	0.711646	0.001239
0.077457	0.712906	0.001160
0.077538	0.714293	0.001089
0.077618	0.715800	0.001025
0.077698	0.717416	0.000966
0.077778	0.719135	0.000913
0.077858	0.720949	0.000864
0.077938	0.722852	0.000819
0.078018	0.724836	0.000778
0.078098	0.726896	0.000740
0.078178	0.729027	0.000705
0.078258	0.731223	0.000672
0.078338	0.733479	0.000642
0.078418	0.735791	0.000614
0.078498	0.738155	0.000588
0.078579	0.740567	0.000563
