# Freq_range	Reflection	Transmission
0.060000	0.163271	1.017543
0.060080	0.179620	0.997154
0.060160	0.195903	0.975241
0.060240	0.213136	0.953241
0.060320	0.230086	0.929986
0.060400	0.247773	0.906675
0.060480	0.265088	0.882515
0.060561	0.282798	0.858255
0.060641	0.300159	0.833616
0.060721	0.317489	0.808817
0.060801	0.334581	0.784095
0.060881	0.351193	0.759178
0.060961	0.367705	0.734723
0.061041	0.383346	0.710094
0.061121	0.398990	0.686198
0.061201	0.413487	0.662224
0.061281	0.428016	0.639125
0.061361	0.441274	0.616111
0.061441	0.454490	0.593997
0.061522	0.466473	0.572173
0.061602	0.478244	0.551188
0.061682	0.488955	0.530713
0.061762	0.499221	0.510965
0.061842	0.508687	0.491923
0.061922	0.517452	0.473485
0.062002	0.525708	0.455903
0.062082	0.533040	0.438819
0.062162	0.540124	0.422676
0.062242	0.546135	0.406963
0.062322	0.552087	0.392205
0.062402	0.556919	0.377854
0.062482	0.561781	0.364409
0.062563	0.565591	0.351385
0.062643	0.569415	0.339172
0.062723	0.572352	0.327423
0.062803	0.575204	0.316359
0.062883	0.577403	0.305814
0.062963	0.579365	0.295821
0.063043	0.580936	0.286398
0.063123	0.582104	0.277405
0.063203	0.583131	0.269013
0.063283	0.583613	0.260955
0.063363	0.584159	0.253503
0.063443	0.584067	0.246320
0.063524	0.584172	0.239720
0.063604	0.583621	0.233356
0.063684	0.583314	0.227525
0.063764	0.582408	0.221928
0.063844	0.581714	0.216792
0.063924	0.580540	0.211910
0.064004	0.579484	0.207408
0.064084	0.578114	0.203191
0.064164	0.576726	0.199271
0.064244	0.575204	0.195670
0.064324	0.573524	0.192293
0.064404	0.571878	0.189259
0.064484	0.569946	0.186394
0.064565	0.568184	0.183884
0.064645	0.566050	0.181508
0.064725	0.564165	0.179484
0.064805	0.561874	0.177580
0.064885	0.559853	0.176008
0.064965	0.557447	0.174566
0.065045	0.555272	0.173420
0.065125	0.552783	0.172429
0.065205	0.550438	0.171694
0.065285	0.547884	0.171149
0.065365	0.545360	0.170816
0.065445	0.542745	0.170713
0.065526	0.540034	0.170783
0.065606	0.537348	0.171120
0.065686	0.534453	0.171604
0.065766	0.531669	0.172384
0.065846	0.528595	0.173300
0.065926	0.525680	0.174530
0.066006	0.522428	0.175903
0.066086	0.519340	0.177597
0.066166	0.515911	0.179461
0.066246	0.512604	0.181642
0.066326	0.508990	0.184034
0.066406	0.505417	0.186736
0.066486	0.501598	0.189702
0.066567	0.497715	0.192968
0.066647	0.493657	0.196561
0.066727	0.489421	0.200450
0.066807	0.485077	0.204729
0.066887	0.480447	0.209313
0.066967	0.475754	0.214350
0.067047	0.470687	0.219715
0.067127	0.465571	0.225591
0.067207	0.460021	0.231841
0.067287	0.454398	0.238652
0.067367	0.448312	0.245905
0.067447	0.442090	0.253764
0.067528	0.435404	0.262153
0.067608	0.428489	0.271190
0.067688	0.421128	0.280864
0.067768	0.413423	0.291228
0.067848	0.405300	0.302346
0.067928	0.396716	0.314203
0.068008	0.387734	0.326935
0.068088	0.378187	0.340464
0.068168	0.368250	0.354978
0.068248	0.357671	0.370360
0.068328	0.346690	0.386819
0.068408	0.335032	0.404220
0.068488	0.322948	0.422759
0.068569	0.310197	0.442309
0.068649	0.296998	0.463009
0.068729	0.283195	0.484768
0.068809	0.268941	0.507627
0.068889	0.254201	0.531539
0.068969	0.239051	0.556422
0.069049	0.223590	0.582270
0.069129	0.207830	0.608868
0.069209	0.191982	0.636227
0.069289	0.176031	0.664011
0.069369	0.160262	0.692216
0.069449	0.144669	0.720421
0.069530	0.129554	0.748570
0.069610	0.114954	0.776216
0.069690	0.101130	0.803225
0.069770	0.088168	0.829196
0.069850	0.076246	0.853913
0.069930	0.065478	0.877093
0.070010	0.055935	0.898462
0.070090	0.047718	0.917903
0.070170	0.040793	0.935136
0.070250	0.035205	0.950227
0.070330	0.030838	0.962947
0.070410	0.027650	0.973522
0.070490	0.025479	0.981829
0.070571	0.024192	0.988193
0.070651	0.023615	0.992633
0.070731	0.023549	0.995498
0.070811	0.023834	0.996959
0.070891	0.024245	0.997324
0.070971	0.024652	0.996890
0.071051	0.024853	0.995884
0.071131	0.024751	0.994684
0.071211	0.024209	0.993420
0.071291	0.023174	0.992495
0.071371	0.021602	0.991946
0.071451	0.019498	0.992133
0.071532	0.016934	0.993017
0.071612	0.014005	0.994840
0.071692	0.010915	0.997501
0.071772	0.007891	1.001046
0.071852	0.005291	1.005298
0.071932	0.003521	1.010038
0.072012	0.003124	1.014970
0.072092	0.004712	1.019554
0.072172	0.009024	1.023312
0.072252	0.016846	1.025374
0.072332	0.029056	1.025046
0.072412	0.046469	1.021221
0.072492	0.069900	1.013069
0.072573	0.099888	0.999504
0.072653	0.136827	0.979819
0.072733	0.180598	0.953367
0.072813	0.230793	0.919946
0.072893	0.286411	0.879738
0.072973	0.346147	0.833298
0.073053	0.408313	0.781703
0.073133	0.471062	0.726147
0.073213	0.532615	0.668223
0.073293	0.591204	0.609324
0.073373	0.645555	0.550983
0.073453	0.694472	0.494339
0.073534	0.737449	0.440452
0.073614	0.774001	0.389995
0.073694	0.804281	0.343449
0.073774	0.828388	0.301049
0.073854	0.846848	0.262819
0.073934	0.860121	0.228697
0.074014	0.868832	0.198433
0.074094	0.873611	0.171815
0.074174	0.875005	0.148483
0.074254	0.873682	0.128169
0.074334	0.870040	0.110512
0.074414	0.864702	0.095243
0.074494	0.857921	0.082047
0.074575	0.850226	0.070684
0.074655	0.841760	0.060905
0.074735	0.832935	0.052501
0.074815	0.823832	0.045289
0.074895	0.814737	0.039094
0.074975	0.805709	0.033788
0.075055	0.796913	0.029228
0.075135	0.788414	0.025325
0.075215	0.780269	0.021968
0.075295	0.772565	0.019094
0.075375	0.765268	0.016619
0.075455	0.758491	0.014497
0.075536	0.752135	0.012668
0.075616	0.746330	0.011097
0.075696	0.740937	0.009741
0.075776	0.736088	0.008572
0.075856	0.731635	0.007562
0.075936	0.727692	0.006689
0.076016	0.724128	0.005934
0.076096	0.721022	0.005277
0.076176	0.718278	0.004709
0.076256	0.715932	0.004212
0.076336	0.713934	0.003782
0.076416	0.712269	0.003404
0.076496	0.710938	0.003075
0.076577	0.709879	0.002785
0.076657	0.709139	0.002532
0.076737	0.708616	0.002308
0.076817	0.708394	0.002112
0.076897	0.708345	0.001936
0.076977	0.708571	0.001782
0.077057	0.708940	0.001645
0.077137	0.709554	0.001522
0.077217	0.710291	0.001413
0.077297	0.711237	0.001315
0.077377	0.712297	0.001227
0.077457	0.713527	0.001148
0.077538	0.714870	0.001077
0.077618	0.716343	0.001011
0.077698	0.717933	0.000953
0.077778	0.719614	0.000899
0.077858	0.721417	0.000851
0.077938	0.723277	0.000805
0.078018	0.725263	0.000765
0.078098	0.727279	0.000726
0.078178	0.729419	0.000692
0.078258	0.731573	0.000659
0.078338	0.733842	0.000630
0.078418	0.736117	0.000601
0.078498	0.738493	0.000576
0.078579	0.740875	0.000551
0.078659	0.743339	0.000528
0.078739	0.745817	0.000507
0.078819	0.748353	0.000487
