# Freq_range	Reflection	Transmission
0.060000	0.157455	1.024447
0.060080	0.174055	1.004761
0.060160	0.189662	0.982748
0.060240	0.207273	0.961594
0.060320	0.223619	0.938030
0.060400	0.241699	0.915558
0.060480	0.258602	0.891006
0.060561	0.276611	0.867440
0.060641	0.293846	0.842445
0.060721	0.311304	0.818087
0.060801	0.328598	0.793126
0.060881	0.345141	0.768347
0.060961	0.362160	0.743803
0.061041	0.377567	0.719015
0.061121	0.393943	0.695166
0.061201	0.408119	0.670793
0.061281	0.423485	0.647827
0.061361	0.436440	0.624257
0.061441	0.450464	0.602293
0.061522	0.462268	0.579856
0.061602	0.474702	0.558969
0.061682	0.485434	0.537907
0.061762	0.496138	0.518150
0.061842	0.505863	0.498614
0.061922	0.514813	0.480033
0.062002	0.523554	0.462081
0.062082	0.530842	0.444718
0.062162	0.538579	0.428333
0.062242	0.544382	0.412228
0.062322	0.551069	0.397335
0.062402	0.555619	0.382518
0.062482	0.561198	0.369008
0.062563	0.564748	0.355495
0.062643	0.569180	0.343242
0.062723	0.571959	0.331027
0.062803	0.575242	0.319910
0.062883	0.577439	0.308959
0.062963	0.579619	0.298872
0.063043	0.581363	0.289126
0.063123	0.582539	0.279979
0.063203	0.583897	0.271357
0.063283	0.584214	0.263086
0.063363	0.585201	0.255489
0.063443	0.584833	0.248044
0.063524	0.585425	0.241367
0.063604	0.584559	0.234712
0.063684	0.584715	0.228847
0.063764	0.583526	0.222954
0.063844	0.583210	0.217800
0.063924	0.581844	0.212640
0.064004	0.581035	0.208112
0.064084	0.579600	0.203654
0.064164	0.578309	0.199681
0.064244	0.576861	0.195888
0.064324	0.575130	0.192419
0.064404	0.573683	0.189249
0.064484	0.571584	0.186250
0.064565	0.570111	0.183653
0.064645	0.567735	0.181107
0.064725	0.566185	0.179034
0.064805	0.563631	0.176935
0.064885	0.561938	0.175338
0.064965	0.559299	0.173688
0.065045	0.557400	0.172522
0.065125	0.554752	0.171328
0.065205	0.552597	0.170560
0.065285	0.549986	0.169827
0.065365	0.547548	0.169436
0.065445	0.544987	0.169170
0.065526	0.542263	0.169147
0.065606	0.539734	0.169350
0.065686	0.536743	0.169701
0.065766	0.534197	0.170373
0.065846	0.530977	0.171117
0.065926	0.528345	0.172259
0.066006	0.524936	0.173427
0.066086	0.522140	0.175041
0.066166	0.518583	0.176675
0.066246	0.515540	0.178769
0.066326	0.511862	0.180918
0.066406	0.508501	0.183509
0.066486	0.504703	0.186228
0.066567	0.500967	0.189348
0.066647	0.497026	0.192696
0.066727	0.492873	0.196391
0.066807	0.488737	0.200431
0.066887	0.484140	0.204765
0.066967	0.479730	0.209565
0.067047	0.474672	0.214624
0.067127	0.469890	0.220258
0.067207	0.464357	0.226146
0.067287	0.459088	0.232697
0.067367	0.453059	0.239539
0.067447	0.447187	0.247104
0.067528	0.440624	0.255040
0.067608	0.434036	0.263733
0.067688	0.426881	0.272920
0.067768	0.419471	0.282875
0.067848	0.411642	0.293481
0.067928	0.403320	0.304853
0.068008	0.394714	0.317052
0.068088	0.385405	0.330016
0.068168	0.375904	0.343983
0.068248	0.365555	0.358724
0.068328	0.355040	0.374623
0.068408	0.343619	0.391329
0.068488	0.331993	0.409300
0.068569	0.319494	0.428131
0.068649	0.306704	0.448267
0.068729	0.293161	0.469330
0.068809	0.279228	0.491650
0.068889	0.264734	0.514949
0.068969	0.249783	0.539358
0.069049	0.234510	0.564748
0.069129	0.218794	0.590992
0.069209	0.203025	0.618124
0.069289	0.186941	0.645747
0.069369	0.171081	0.674028
0.069449	0.155165	0.702343
0.069530	0.139746	0.730923
0.069610	0.124633	0.759018
0.069690	0.110278	0.786830
0.069770	0.096639	0.813623
0.069850	0.083984	0.839482
0.069930	0.072424	0.863838
0.070010	0.062017	0.886603
0.070090	0.052962	0.907494
